the_review,topics
I wish I would have gotten one earlier. I love it and it makes working in my laptop so much easier,mouse
It is so slow and lags find a better option,mouse
"Beautifully produced and lovely to look at for a mouse.  The lights are a welcome addition to an otherwise drab workspace.  I did notice that it tends to go into a sleep mode quickly, but takes a longer ‘wake up’ time than I expect.  On a screen busy with windows, the cursor freezes in position until the mouse fully comes back to life.  It’s frustrating for anyone who isn’t patient.",mouse
I don't typically write reviews but I keep having this issue with tech products from amazon. The mouse stopped working after 2 months of use. It charges and sometimes I can get short term use out of it but it's very glitchy and lags across the screen.,mouse
"I bought this in late June, it looks cool with the lights and all. It doesn't give a warning that the battery is low, just stops working. Now it is doing all kinds of weird stuff, clicking on items that you didn't, etc. Too late to return...oh well...not recommended.",mouse
Excellent for price!,headphone
It felt like it would break easily and the texture of the mouse would get dirty quickly.,mouse
"It works ok.  Nothing spectacular.  If you're a gamer or use the mouse quite a bit, you have to charge it about once a day, or it starts lagging and causes things to crash or freeze up due to the lag.",mouse
"like design not function ,,, frustrating",mouse
I bought this mouse to go with my work laptop when I have to travel to sites. I HATE using the pad that is built into the laptop. This is cute and little. I am thinking about using it for my personal laptop when gaming or doing school work.,mouse
Got two of these with colors that matched out tablets. Easy to transport and just right feel in my hand. So far they work perfectly and at what I would consider a great price.,mouse
"I’ve actually purchased two of these and both broke in the same way, the scroller. I do not recommend if you need them for any kind of gaming that requires the scroller. I need to use it for camera angles in game and without it gameplay is awful. I won’t be buying a third one, BUT if that’s not gonna be a problem for you then these will probably be great. They hold a charge well and the light show they put on is really cool.",mouse
Easy to use,headphone
" It's an excellent product. If you're looking for a wireless mouse, a good price and with high load durability, that's correct. I use it for work in ArcGis. Excellent service",headphone
"As a lot of other reviewers said, the scroll wheel broke. I have had a different USB mouse for years without this problem. I'll be going back to it.The battery life is also very short. I'm constantly having to recharge it.",mouse
FIrst time that I need to change the battery and it doesnt work anymore!!!  NO duro NI 6 Meses!!!,mouse
This is exactly what I needed. My favorite features are the quite clicks and the led lights.,mouse
Haven’t had it long. USB-C adapter is already broken so my mouse is currently unusable on my MacBook. Mouse is decent but seems to not hold a charge very long when I was using it.,mouse
"Charged all night, and only last few minutes.This mouse has pretty design, but it's too thin to hold.Just asked for refund but not replaced.",mouse
"You could think it's a decent mouse for the price you paid. But, in reality, it is an uncomfortable mouse and barely works. The only good thing about this mouse is that it comes with a USB to USB-c adapter, which comes in handy.",mouse
"A very reasonably priced cordless, rechargeable mouse with 3-button control with scroll wheel, which is my preference rather than the MacBookAir track pad or the Mac Mouse for the desktop Mac.",mouse
"I would buy it against n. It’s pretty, not really bling, just sleek.",mouse
It has a soft touch,mouse
Its a nice mouse but i'm not sure if its good for gaming.,mouse
cool and easy to use at first. but broke with in a few weeks of use.,mouse
"Feels very cheap. Wouldn’t charge on my laptop, had to plug it in on my desktop to charge it. Finally got it charged just for it to die after 2 hours of non-continuous use. It’s getting returned.",mouse
It works well.  It does what I purchased it for.,headphone
"I purchased this mouse as the wheel on my old one quit working, I loved the design and wanted another so I ordered it and received it Aug 31, 2022 It is Oct 17, 2022, and the wheel just quick working again.  I would recommend looking at a different mouse if you prefer your scrolling feature.",mouse
"Mouse worked fine for 3 months, charged it every week or so. Then wouldn't charge via USB. Not good option for those who need something reliable.",mouse
Ergonomic and fits my hand well.Pretty when charged.***mine doesn’t hold a charge well. It only lasts a couple hours at most.,mouse
Certainly helps to look at instructional pictures and to try to translate what the instructions mean,mouse
Performs as expected,keyboard_speakers
"Mouse seems to work ok. Looks nice, easy install, etc, Biggest complaint is the time out and wake up feature. Every time I go to use the PC, it's asleep. Then have to either click a button (which may/may not cause an action on the PC) or pick it up and down several times. Too annoying so stopped using it. Might keep it aside for use with my laptop when traveling, Definitely not for daily use.",mouse
"This is slim, quiet and I absolutely love the changing of colors. Best mouse I've had !!",mouse
I bought this mouse to match the keyboard I bought for my daughter to use with her laptop. She does online school and likes having a mouse as well as a keyboard. She likes that they match and both light up. I didn't know how it would be for gaming.,mouse
Very easy to use and sleek design. It is small enough to fit easily into my computer bag when I have to take it with me.,mouse
Good feel and ergonomics but scroll wheel broke at six weeks. Design/plastic quality selection does not live up to common everyday use.,mouse
"This is nice little mouse, very quiet clicking, and I get lots of compliments on the changing color lights.",mouse
Did not work with intended laptop,mouse
"Sleek, ergonomic feel, quiet clicker. Easy to charge, USB easy to install. Would definitely recommend for the price!",mouse
I just purchased this mouse to use with my new laptop and am impressed with the quietness of the buttons and it has helped me win on my games,mouse
"Love the clickity clicks of the mouse, got it for my daughter for online school work and she loves the damn thing.",headphone
Very ergonomic,mouse
" Bought this mouse for my office to go with the theme and love it, was kind of frustrated at first because it was tricky getting it to come on but after holding the two buttons it worked. Great purchase.",mouse
"I like how slim it is, and the colors are a nice touch without being distracting. Clicking is responsive, though the movement was a little glitchy (for me) sometimes. My biggest complaint is that the USB sticks out super far if you have to use the USB-C adapter.",mouse
"I was super exited for this to come, and it worked for about five minuted! The only thing that worked was the USB to type-C adapter!😠",mouse
"Love the color, love how it changes colors and love how it holds a charge!",mouse
I love the sleep mode. So easy to use.,mouse
Works on MacBook Pro.,headphone
