review_title,review_title_length,the_review,the_review_length,review_score,year,month,month_name,day
Works great,2,I wish I would have gotten one earlier. I love it and it makes working in my laptop so much easier,21,5.0,2022,10,October,29
I hope you have better luck with this mouse than I...,11,"I've learned this lesson (again). Open the package and use the product right away. I ordered this mouse in August as my 'travel' mouse and just packed it away in my bag. Now, I've been visiting family in the PNW since mid-September. The mouse took a charge and worked fine for a couple of weeks. After I recharged the mouse, it worked for a day or two and then ceased to function. The optical light will flash once when turned on then.... nothing. Of course, the return window is well past.",91,1.0,2022,10,October,29
Not worth it,3,It is so slow and lags find a better option,10,2.0,2022,10,October,29
Roller ball stopped working within 4 months of minimal use,10,Roller ball stopped working within 4 months of minimal use.  Piece of junk.,13,1.0,2022,10,October,29
The mouse will not hold a charge,7,I like the color and size but it’s a few days out of the return period and it will not hold a charge,23,1.0,2022,10,October,29
Middle Scroller randomly collapses and stops working,7,"Overall I love this mouse. The size, weight, clicking is all fabulous. However I’ve had two of these now and the middle scroller has randomly fallen in without rough use, it wasn’t dropped, literally was not even touching it the second time and I heard it fall. If you need to use the middle scroller a lot I do not recommend purchase. If you don’t use that feature then it’s a great mouse.",73,3.0,2022,10,October,28
Stopped working,2,It stopped working,3,1.0,2022,10,October,28
Broke within a month.,4,"My son uses a school issued Chromebook for school work and hates using the touch pad to navigate the mouse. So we looked into a wireless mouse and found this one had so many good reviews. Unfortunately, the scrolling wheel has already broken and he has only used it a month. Since he only uses it for his school computer it mostly stayed stored safely in the carrying case. He was not rough with it and it was stored carefully when not in use. I am really disappointed because he loved the color and paid for this with his own money earned helping his grandmother over the summer at a campground. There is an email on the bottom of the mouse that says lifetime replacement but I have tried twice now to email them about it and it keeps bouncing back as undeliverable. I am sure this has been a great product for many and we likely got the dud so I am not telling anyone not to buy it but I am sharing our experience for others to consider.",180,1.0,2022,10,October,28
Wheel broken after 2 months,5,Loved this cute little mouse but it broke after 2 months. The wheel broke off from the gear.,18,1.0,2022,10,October,27
Stopped working,2,Should've spent the money to get a quality product. This thing stopped working after about a week. Worthless,18,1.0,2022,10,October,27
Lag time seems higher than expected,6,"Beautifully produced and lovely to look at for a mouse.  The lights are a welcome addition to an otherwise drab workspace.  I did notice that it tends to go into a sleep mode quickly, but takes a longer ‘wake up’ time than I expect.  On a screen busy with windows, the cursor freezes in position until the mouse fully comes back to life.  It’s frustrating for anyone who isn’t patient.",70,3.0,2022,10,October,27
Cheaply made,2,First one broke in 1 week they sent a replacement and I returned broken one and it still hasn’t processed return now new one broke 2 weeks later.  I would not recommend this mouse,34,2.0,2022,10,October,27
Mouse stopped working within 2 months of purchase,8,I don't typically write reviews but I keep having this issue with tech products from amazon. The mouse stopped working after 2 months of use. It charges and sometimes I can get short term use out of it but it's very glitchy and lags across the screen.,47,1.0,2022,10,October,26
Broke within 3 months,4,I liked the wireless mouse however after 3 months the roller on the mouse stopped working which leaves me not being able to scroll up or down on my pc. I’ll have to look into buying a more sturdy mouse.,40,1.0,2022,10,October,26
Keeps breaking,2,The wheel from the mouse not working anymore. It only lasted for about 2 months. Really nice mouse but doesn't last.,21,3.0,2022,10,October,26
Nothing but issues,3,"Nothing but issues the scroll wheel broke for no reason at all, no longer holds a charge. Would not recommend!!!",20,1.0,2022,10,October,26
It doesn’t charge,3,Wouldn’t recommend have been trying to charge it for days!,10,1.0,2022,10,October,26
Disappointed,1,"I bought this in late June, it looks cool with the lights and all. It doesn't give a warning that the battery is low, just stops working. Now it is doing all kinds of weird stuff, clicking on items that you didn't, etc. Too late to return...oh well...not recommended.",49,1.0,2022,10,October,26
Didn't last long,3,After a few weeks the scroll wheel stopped working. I'm returning it.,12,2.0,2022,10,October,25
2nd one and already not working,6,This is the second time I have ordered this mouse. I actually really like the mouse except for the fact that they keep breaking and I have to order a new one. So for that reason I am only going to give you two stars. I ordered this particular mouse only two months ago and it’s already broken.  I should get my money back.,64,2.0,2022,10,October,25
Connected effortlessly with Lenovo Chromebook.,5,Excellent for price!,3,5.0,2022,10,October,25
Only lasted 7 mos!,4,Disappointed in this mouse. The wheel broke after 7 months.,10,1.0,2022,10,October,25
A bit disappointing,3,It felt like it would break easily and the texture of the mouse would get dirty quickly.,17,3.0,2022,10,October,25
Broke down after less than a year,7,"Bought this mouse on December 2021. Its October 2022 and no matter how long I charge it, the only thing it does is blink the red light once and die. Don't recommend this at all.",35,1.0,2022,10,October,25
Has to be charged regularly,5,"It works ok.  Nothing spectacular.  If you're a gamer or use the mouse quite a bit, you have to charge it about once a day, or it starts lagging and causes things to crash or freeze up due to the lag.",41,3.0,2022,10,October,25
Bummed,1,Unfortunately this mouse stopped working after a month of use. Can I replace the item or get a refund?,19,1.0,2022,10,October,25
Worked great for a while,5,I had no issues with the mouse but I dropped it from not even 2ft from the ground (on accident of course) and the spin wheel and the left clicker broke. I’ve ordered another one and I hope it lasts longer than this one did.,45,4.0,2022,10,October,25
After 7 months won't hold a charge!,7,Bought 7 months ago now I have to charge it every other day.,13,2.0,2022,10,October,25
doesn't recharge very easily,4,"like design not function ,,, frustrating",6,2.0,2022,10,October,25
I would not hold a charge,6,We tried several different ways to charge it and it would not hold a charge over 30 minutes. :(,19,1.0,2022,10,October,24
Cute little mouse,3,I bought this mouse to go with my work laptop when I have to travel to sites. I HATE using the pad that is built into the laptop. This is cute and little. I am thinking about using it for my personal laptop when gaming or doing school work.,49,5.0,2022,10,October,24
Easy in all ways,4,Got two of these with colors that matched out tablets. Easy to transport and just right feel in my hand. So far they work perfectly and at what I would consider a great price.,34,5.0,2022,10,October,24
broke after a month of normal use,7,The mouse wheel broke and just spins now.  I used this for my work laptop and loved it but if this is the quality it is I will not buy another,31,2.0,2022,10,October,24
